Unnamed: 0_x,Timestamp,People Count,Fake Count,RGB,Pico,Target
6206,2025-05-02 11:28:08.000,4.0,,4.0,5.0,5.0
6205,2025-05-02 11:28:07.000,3.0,,4.0,5.0,4.0
6204,2025-05-02 11:28:06.000,3.0,,4.0,5.0,4.0
6203,2025-05-02 11:28:05.000,2.0,,3.0,5.0,4.0
6202,2025-05-02 11:28:03.000,2.0,,3.0,5.0,4.0
6201,2025-05-02 11:28:02.000,2.0,,3.0,5.0,4.0
6200,2025-05-02 11:28:01.000,1.0,,3.0,5.0,4.0
6199,2025-05-02 11:28:00.000,2.0,,3.0,5.0,4.0
6198,2025-05-02 11:27:59.000,2.0,,4.0,5.0,4.0
6197,2025-05-02 11:27:57.000,3.0,,,5.0,4.0
6196,2025-05-02 11:27:56.000,1.0,,4.0,5.0,4.0
6195,2025-05-02 11:27:55.000,1.0,,3.0,5.0,4.0
6194,2025-05-02 11:27:54.000,2.0,,3.0,5.0,4.0
6193,2025-05-02 11:27:53.000,2.0,,3.0,5.0,4.0
6192,2025-05-02 11:27:52.000,3.0,,3.0,5.0,4.0
6191,2025-05-02 11:27:51.000,4.0,,3.0,5.0,4.0
6190,2025-05-02 11:27:50.000,3.0,,4.0,5.0,4.0
6189,2025-05-02 11:27:49.000,3.0,,3.0,5.0,4.0
6188,2025-05-02 11:27:48.000,2.0,,3.0,5.0,4.0
6187,2025-05-02 11:27:46.000,1.0,,3.0,5.0,4.0
6186,2025-05-02 11:27:45.000,2.0,,2.0,5.0,4.0
6185,2025-05-02 11:27:44.000,2.0,,2.0,5.0,4.0
6184,2025-05-02 11:27:43.000,2.0,,3.0,5.0,4.0
6183,2025-05-02 11:27:42.000,2.0,,4.0,5.0,4.0
6182,2025-05-02 11:27:41.000,3.0,,4.0,5.0,4.0
6181,2025-05-02 11:27:40.000,3.0,,5.0,5.0,4.0
6180,2025-05-02 11:27:39.000,2.0,,4.0,5.0,4.0
6179,2025-05-02 11:27:38.000,3.0,,4.0,5.0,4.0
6178,2025-05-02 11:27:36.000,3.0,,4.0,5.0,4.0
6177,2025-05-02 11:27:35.000,1.0,,5.0,5.0,4.0
6176,2025-05-02 11:27:34.000,2.0,,6.0,5.0,4.0
6175,2025-05-02 11:27:33.000,3.0,,6.0,5.0,4.0
6174,2025-05-02 11:27:32.000,3.0,,5.0,5.0,4.0
6173,2025-05-02 11:27:31.000,3.0,,5.0,5.0,4.0
6172,2025-05-02 11:27:30.000,2.0,,4.0,5.0,4.0
6171,2025-05-02 11:27:29.000,2.0,,4.0,5.0,4.0
6170,2025-05-02 11:27:28.000,3.0,,4.0,5.0,4.0
6169,2025-05-02 11:27:27.000,3.0,,3.0,5.0,4.0
6168,2025-05-02 11:27:25.000,3.0,,3.0,5.0,4.0
6167,2025-05-02 11:27:24.000,3.0,,5.0,5.0,4.0
6166,2025-05-02 11:27:23.000,2.0,,4.0,5.0,4.0
6165,2025-05-02 11:27:22.000,2.0,,5.0,5.0,4.0
6164,2025-05-02 11:27:21.000,2.0,,4.0,5.0,4.0
6163,2025-05-02 11:27:20.000,2.0,,4.0,5.0,4.0
6162,2025-05-02 11:27:19.000,2.0,,5.0,5.0,4.0
6161,2025-05-02 11:27:18.000,2.0,,5.0,5.0,4.0
6160,2025-05-02 11:27:17.000,2.0,,4.0,5.0,4.0
6159,2025-05-02 11:27:15.000,3.0,,5.0,5.0,4.0
6158,2025-05-02 11:27:14.000,1.0,,,5.0,4.0
6157,2025-05-02 11:27:13.000,2.0,,5.0,5.0,4.0
6156,2025-05-02 11:27:12.000,1.0,,5.0,5.0,4.0
6155,2025-05-02 11:27:11.000,2.0,,4.0,5.0,4.0
6154,2025-05-02 11:27:10.000,2.0,,5.0,5.0,4.0
6153,2025-05-02 11:27:09.000,1.0,,6.0,5.0,4.0
6152,2025-05-02 11:27:08.000,2.0,,6.0,5.0,4.0
6151,2025-05-02 11:27:07.000,1.0,,5.0,5.0,4.0
6150,2025-05-02 11:27:05.000,3.0,,4.0,5.0,4.0
6149,2025-05-02 11:27:04.000,3.0,,5.0,5.0,4.0
6148,2025-05-02 11:27:03.000,3.0,,4.0,5.0,4.0
6147,2025-05-02 11:27:02.000,2.0,,4.0,5.0,4.0
6146,2025-05-02 11:27:01.000,2.0,,3.0,5.0,4.0
6145,2025-05-02 11:27:00.000,1.0,,5.0,5.0,4.0
6144,2025-05-02 11:26:59.000,2.0,,5.0,5.0,4.0
6143,2025-05-02 11:26:58.000,2.0,,6.0,5.0,4.0
6142,2025-05-02 11:26:57.000,2.0,,5.0,5.0,4.0
6141,2025-05-02 11:26:56.000,1.0,,5.0,5.0,4.0
6140,2025-05-02 11:26:54.000,2.0,,5.0,5.0,4.0
6139,2025-05-02 11:26:53.000,2.0,,5.0,5.0,4.0
6138,2025-05-02 11:26:52.000,2.0,,5.0,5.0,4.0
6137,2025-05-02 11:26:51.000,1.0,,5.0,5.0,4.0
6136,2025-05-02 11:26:50.000,3.0,,5.0,5.0,4.0
6135,2025-05-02 11:26:49.000,3.0,,5.0,5.0,4.0
6134,2025-05-02 11:26:48.000,2.0,,4.0,5.0,4.0
6133,2025-05-02 11:26:47.000,1.0,,3.0,5.0,4.0
6132,2025-05-02 11:26:46.000,2.0,,3.0,5.0,4.0
6131,2025-05-02 11:26:44.000,2.0,,3.0,5.0,4.0
6130,2025-05-02 11:26:43.000,2.0,,3.0,5.0,4.0
6129,2025-05-02 11:26:42.000,2.0,,5.0,5.0,4.0
6128,2025-05-02 11:26:41.000,2.0,,4.0,5.0,4.0
6127,2025-05-02 11:26:40.000,2.0,,5.0,5.0,4.0
6126,2025-05-02 11:26:39.000,3.0,,4.0,5.0,4.0
6125,2025-05-02 11:26:38.000,4.0,,5.0,5.0,4.0
6124,2025-05-02 11:26:37.000,3.0,,5.0,5.0,4.0
6123,2025-05-02 11:26:36.000,3.0,,5.0,5.0,4.0
6122,2025-05-02 11:26:35.000,4.0,,5.0,5.0,4.0
6121,2025-05-02 11:26:33.000,3.0,,5.0,5.0,4.0
6120,2025-05-02 11:26:32.000,3.0,,5.0,5.0,4.0
6119,2025-05-02 11:26:31.000,2.0,,5.0,5.0,4.0
6118,2025-05-02 11:26:30.000,3.0,,6.0,5.0,4.0
6117,2025-05-02 11:26:29.000,3.0,,4.0,5.0,4.0
6116,2025-05-02 11:26:28.000,3.0,,4.0,5.0,4.0
6115,2025-05-02 11:26:27.000,3.0,,4.0,5.0,4.0
6114,2025-05-02 11:26:26.000,4.0,,4.0,5.0,4.0
6113,2025-05-02 11:26:25.000,2.0,,5.0,5.0,4.0
6112,2025-05-02 11:26:23.000,2.0,,4.0,5.0,4.0
6111,2025-05-02 11:26:22.000,3.0,,5.0,5.0,4.0
6110,2025-05-02 11:26:21.000,2.0,,5.0,5.0,4.0
6109,2025-05-02 11:26:20.000,2.0,,5.0,5.0,4.0
6108,2025-05-02 11:26:19.000,3.0,,4.0,5.0,4.0
6107,2025-05-02 11:26:18.000,4.0,,5.0,5.0,4.0
6106,2025-05-02 11:26:17.000,2.0,,6.0,5.0,4.0
6105,2025-05-02 11:26:16.000,3.0,,5.0,5.0,4.0
6104,2025-05-02 11:26:15.000,2.0,,3.0,5.0,4.0
6103,2025-05-02 11:26:13.000,2.0,,3.0,5.0,4.0
6102,2025-05-02 11:26:12.000,2.0,,4.0,5.0,4.0
6101,2025-05-02 11:26:11.000,4.0,,4.0,5.0,4.0
6100,2025-05-02 11:26:10.000,2.0,,3.0,5.0,4.0
6099,2025-05-02 11:26:09.000,4.0,,4.0,5.0,4.0
6098,2025-05-02 11:26:08.000,4.0,,4.0,5.0,4.0
6097,2025-05-02 11:26:07.000,4.0,,5.0,5.0,4.0
6096,2025-05-02 11:26:06.000,4.0,,5.0,5.0,4.0
6095,2025-05-02 11:26:05.000,4.0,,5.0,5.0,4.0
6094,2025-05-02 11:26:03.000,3.0,,4.0,5.0,4.0
6093,2025-05-02 11:26:02.000,3.0,,4.0,5.0,4.0
6092,2025-05-02 11:26:01.000,2.0,,4.0,5.0,4.0
6091,2025-05-02 11:26:00.000,3.0,,4.0,5.0,4.0
6090,2025-05-02 11:25:59.000,3.0,,4.0,5.0,4.0
6089,2025-05-02 11:25:58.000,3.0,,5.0,5.0,4.0
6088,2025-05-02 11:25:57.000,3.0,,4.0,5.0,4.0
6087,2025-05-02 11:25:56.000,4.0,,4.0,5.0,4.0
6086,2025-05-02 11:25:55.000,4.0,,4.0,5.0,4.0
6085,2025-05-02 11:25:53.000,4.0,,4.0,5.0,4.0
6084,2025-05-02 11:25:52.000,4.0,,5.0,5.0,4.0
6083,2025-05-02 11:25:51.000,4.0,,5.0,5.0,4.0
6082,2025-05-02 11:25:50.000,4.0,,5.0,5.0,4.0
6081,2025-05-02 11:25:49.000,2.0,,4.0,5.0,4.0
6080,2025-05-02 11:25:48.000,3.0,,5.0,5.0,4.0
6079,2025-05-02 11:25:47.000,2.0,,5.0,5.0,4.0
6078,2025-05-02 11:25:46.000,2.0,,5.0,5.0,4.0
6077,2025-05-02 11:25:45.000,2.0,,4.0,5.0,4.0
6076,2025-05-02 11:25:43.000,2.0,,5.0,5.0,4.0
